quantity,exact_or_decimal,status
Omega_Lambda_0,2/3,conditional exact
z_acc,0.587401052,conditional exact
z_eq,0.259921050,conditional exact
H0_t0,0.9358813101,conditional exact
q0,-1/2,conditional exact
j0,1,conditional exact
Delta_N,0.4620981204,conditional exact
