arity,admitted_ranks,inverse_values
2,"1,2,3,4,5,6","1,-1,2,-6,24,-120"
3,"1,3,5,7,9","1,-1,24,-3060,1249920"
4,"1,4,7,10,13","1,-1,349,-2018016,77366328753"
5,"1,5,9,13","1,-1,6950,-2491030400"
